Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance,VNYMR
1731877835.196512,1,1731877835,192448139,imu1_frame,0,0,0,,-0.04471472409590676,-0.0403414874349174,0.23393990830642863,0.9703840874324687,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.028581,-0.061779,-0.132057,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.727,1.709,-9.127,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.4018,-0.0349,0.493,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+027.283,-003.289,-006.075,+00.4018,-00.0349,+00.4930,+00.727,+01.709,-09.127,+00.028581,-00.061779,-00.132057*61"
1731877835.218904,2,1731877835,217221021,imu1_frame,0,0,0,,-0.04395394268639554,-0.041417967961147314,0.23204692634255367,0.9708279079359348,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.018604,-0.051104,-0.218525,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.48,1.13,-10.252,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.4037,-0.0317,0.4952,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+027.066,-003.441,-006.013,+00.4037,-00.0317,+00.4952,+00.480,+01.130,-10.252,+00.018604,-00.051104,-00.218525*6A"
1731877835.2450116,3,1731877835,242289781,imu1_frame,0,0,0,,-0.04487729781419174,-0.04019440903319487,0.2288597534861922,0.9715933567380994,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.064292,0.227553,-0.244449,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.523,1.466,-10.247,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.4021,-0.0314,0.4947,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+026.684,-003.300,-006.072,+00.4021,-00.0314,+00.4947,+00.523,+01.466,-10.247,-00.064292,+00.227553,-00.244449*69"
1731877835.272383,4,1731877835,267368078,imu1_frame,0,0,0,,-0.046023924391983086,-0.037093840489926616,0.22590665595359175,0.9723538595476106,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.039129,0.261234,-0.245594,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.544,1.148,-9.853,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.4011,-0.0325,0.4973,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+026.316,-002.943,-006.108,+00.4011,-00.0325,+00.4973,+00.544,+01.148,-09.853,+00.039129,+00.261234,-00.245594*67"
1731877835.2946625,5,1731877835,292421340,imu1_frame,0,0,0,,-0.04515319165733986,-0.03405288125435486,0.2221109757351453,0.9733798359424825,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.138143,0.23293,-0.355983,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.344,1.039,-10.111,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.3975,-0.029,0.4965,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+025.845,-002.650,-005.920,+00.3975,-00.0290,+00.4965,+00.344,+01.039,-10.111,+00.138143,+00.232930,-00.355983*68"
1731877835.320536,6,1731877835,317253828,imu1_frame,0,0,0,,-0.043495370776330124,-0.03154701777383469,0.2174658917282695,0.9745878740911131,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.1541,0.157764,-0.407944,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.023,1.345,-10.51,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.3963,-0.0217,0.5011,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+025.278,-002.440,-005.658,+00.3963,-00.0217,+00.5011,-00.023,+01.345,-10.510,+00.154100,+00.157764,-00.407944*6C"
1731877835.3472748,7,1731877835,342320680,imu1_frame,0,0,0,,-0.04298145094311893,-0.03007482052809573,0.21316116673058474,0.975607716781229,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0319,0.088019,-0.315295,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.29,1.322,-10.894,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.3948,-0.0192,0.4971,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+024.762,-002.313,-005.553,+00.3948,-00.0192,+00.4971,-00.290,+01.322,-10.894,+00.031900,+00.088019,-00.315295*6E"
1731877835.370077,8,1731877835,367363691,imu1_frame,0,0,0,,-0.044782083390192205,-0.028652072547734317,0.2096861680420334,0.9763223518274082,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.198536,0.248197,-0.274756,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.316,0.797,-11.3,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.394,-0.0193,0.503,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+024.349,-002.130,-005.712,+00.3940,-00.0193,+00.5030,-00.316,+00.797,-11.300,-00.198536,+00.248197,-00.274756*68"
1731877835.398097,9,1731877835,392805099,imu1_frame,0,0,0,,-0.04994526858301385,-0.0239619971350042,0.205177001504195,0.9771559194382542,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.363876,0.565672,-0.381238,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.041,1.03,-9.589,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.3893,-0.0209,0.5032,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+023.798,-001.509,-006.170,+00.3893,-00.0209,+00.5032,-00.041,+01.030,-09.589,-00.363876,+00.565672,-00.381238*6F"
1731877835.427645,10,1731877835,417337417,imu1_frame,0,0,0,,-0.05384980299278789,-0.018950864470384306,0.20030355607627168,0.9780692965616818,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.125147,0.367259,-0.337595,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.184,1.47,-7.859,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.3837,-0.0207,0.5059,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+023.198,-000.888,-006.485,+00.3837,-00.0207,+00.5059,+00.184,+01.470,-07.859,-00.125147,+00.367259,-00.337595*61"
