Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance,VNYMR
1731883667.742002,2399,1731883667,740545749,imu1_frame,0,0,0,,-0.06299859280008265,0.0001737860219935619,0.7594629445886959,0.6474929983407506,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.346234,0.204385,0.047843,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.303,0.461,-8.095,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0446,-0.1664,0.4797,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+098.875,+005.504,-004.686,-00.0446,-00.1664,+00.4797,+01.303,+00.461,-08.095,+00.346234,+00.204385,+00.047843*65"
1731883667.766557,2400,1731883667,765501022,imu1_frame,0,0,0,,-0.058651793761625284,0.005444530906761846,0.7589507977856053,0.6484782268606575,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.625645,-0.091585,-0.243931,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.373,-1.227,-8.162,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0458,-0.1599,0.48,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+098.788,+005.514,-003.906,-00.0458,-00.1599,+00.4800,+01.373,-01.227,-08.162,+00.625645,-00.091585,-00.243931*63"
1731883667.7917428,2401,1731883667,790522098,imu1_frame,0,0,0,,-0.05393327533986374,0.009781146669531414,0.7548913558289301,0.6535553319159008,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.417943,0.002863,-0.582542,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.966,1.332,-9.211,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0434,-0.154,0.4832,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+098.079,+005.406,-003.209,-00.0434,-00.1540,+00.4832,+01.966,+01.332,-09.211,+00.417943,+00.002863,-00.582542*69"
1731883667.8168077,2402,1731883667,815629720,imu1_frame,0,0,0,,-0.052089049865064685,0.013239129714626104,0.7518217458455928,0.6571723661279731,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.325344,0.12973,-0.150317,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.049,2.455,-9.913,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0416,-0.154,0.4865,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+097.552,+005.493,-002.796,-00.0416,-00.1540,+00.4865,+02.049,+02.455,-09.913,+00.325344,+00.129730,-00.150317*6A"
1731883667.841996,2403,1731883667,840520620,imu1_frame,0,0,0,,-0.05011220341527745,0.01841483948633676,0.7513528259903121,0.6577374792665611,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.567061,0.081775,-0.100915,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.776,-0.563,-9.032,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0425,-0.1467,0.4857,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+097.492,+005.712,-002.203,-00.0425,-00.1467,+00.4857,+01.776,-00.563,-09.032,+00.567061,+00.081775,-00.100915*68"
1731883667.8667836,2404,1731883667,865585327,imu1_frame,0,0,0,,-0.044540922211676694,0.025049346968850375,0.7486500725875722,0.6609929691604823,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.642195,0.077872,-0.396095,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.955,-0.052,-9.965,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0427,-0.144,0.4916,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+097.055,+005.728,-001.231,-00.0427,-00.1440,+00.4916,+01.955,-00.052,-09.965,+00.642195,+00.077872,-00.396095*6F"
1731883667.8917232,2405,1731883667,890536785,imu1_frame,0,0,0,,-0.04296339387694296,0.0299082615492572,0.7452930435131367,0.6646788111325662,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.286417,0.107783,-0.299799,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.14,1.704,-8.576,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0428,-0.1386,0.4898,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+096.507,+005.958,-000.722,-00.0428,-00.1386,+00.4898,+02.140,+01.704,-08.576,+00.286417,+00.107783,-00.299799*64"
1731883667.916827,2406,1731883667,915577411,imu1_frame,0,0,0,,-0.03964817897007947,0.03153421482586598,0.7446057206226497,0.665579398731434,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.250642,-0.158312,0.063999,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.642,0.559,-10.772,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0412,-0.1362,0.4946,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+096.398,+005.798,-000.335,-00.0412,-00.1362,+00.4946,+01.642,+00.559,-10.772,+00.250642,-00.158312,+00.063999*61"
1731883667.9419239,2407,1731883667,940478801,imu1_frame,0,0,0,,-0.03760114170016509,0.033183196324619336,0.7445836310534824,0.6656427314947091,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.187399,0.04362,-0.143793,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.116,-1.656,-10.701,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0399,-0.1337,0.4925,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+096.406,+005.749,-000.037,-00.0399,-00.1337,+00.4925,+01.116,-01.656,-10.701,+00.187399,+00.043620,-00.143793*66"
1731883667.9668307,2408,1731883667,965561389,imu1_frame,0,0,0,,-0.0378743613539425,0.0347829513269826,0.7415739269317906,0.6688974435172996,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.01695,0.129688,-0.424254,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.241,-0.355,-9.658,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0404,-0.1324,0.496,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+095.902,+005.895,+000.053,-00.0404,-00.1324,+00.4960,+01.241,-00.355,-09.658,+00.016950,+00.129688,-00.424254*66"
